training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
2500,789,17,83,63,0.0252,13,0.0052,0.15794744109100622,0.21376841503133437,0.012465285260196938,0.31746031746031744,0.2831350020517029,0.034325315408614554,0.8289473684210527,0.17016492616178197
2500,789,18,14,327,0.1308,13,0.0052,0.03165562816606508,0.042843197795031075,0.01132582495168225,0.3302752293577982,0.27703635526921305,0.05323887408858513,0.961764705882353,0.16962308085972877
2500,789,19,66,1952,0.7808,13,0.0052,-0.0929001823005336,0.0,0.029574151796877276,0.2817622950819672,0.291970802919708,-0.010208507837740799,0.9933842239185751,0.16796697688187467
2500,789,20,10,327,0.1308,13,0.0052,0.03165562816606508,0.042843197795031075,0.010794711008538316,0.3302752293577982,0.27703635526921305,0.05323887408858513,0.961764705882353,0.16670262337683456
2500,2026,1,69,48,0.0192,13,0.0052,0.5288483567334697,1.0,0.01834986796753846,0.3958333333333333,0.28181076672104405,0.11402256661228927,0.7868852459016393,0.6459309650478424
2500,2026,2,75,48,0.0192,13,0.0052,0.5288483567334697,1.0,0.017180530917456503,0.3958333333333333,0.28181076672104405,0.11402256661228927,0.7868852459016393,0.6353897110125231
2500,2026,3,63,31,0.0124,13,0.0052,-0.012980567777723306,0.0,0.02254892817780076,0.41935483870967744,0.2823005265289591,0.13705431218071834,0.7045454545454546,0.4168504542846647
2500,2026,4,74,358,0.1432,13,0.0052,0.13192986753981342,0.24946634675146348,0.02909628744083862,0.2681564245810056,0.28664799253034545,-0.01849156794933987,0.9649595687331537,0.40189483570262713
2500,2026,5,86,1540,0.616,13,0.0052,0.16782366155408387,0.3173379654437766,0.02180646343583222,0.2896103896103896,0.275,0.014610389610389574,0.9916291049581455,0.3878590331748427
2500,2026,6,60,169,0.0676,13,0.0052,0.22432165781266747,0.4241700951823542,0.02408807665612529,0.26627218934911245,0.2852852852852853,-0.01901309593617284,0.9285714285714286,0.38753763661479335
2500,2026,7,99,15,0.006,13,0.0052,0.3209972694041115,0.6069741265469951,0.0165736129827732,0.4,0.2832997987927565,0.1167002012072435,0.5357142857142857,0.3621563366096792
2500,2026,8,67,358,0.1432,13,0.0052,0.13192986753981342,0.24946634675146348,0.023842738749770075,0.2681564245810056,0.28664799253034545,-0.01849156794933987,0.9649595687331537,0.3438179866709439
2500,2026,9,73,1978,0.7912,13,0.0052,0.037897213466245354,0.07165988696707794,0.02707114370821313,0.2846309403437816,0.28160919540229884,0.0030217449414827735,0.99347061778001,0.33913981664042514
2500,2026,10,66,1978,0.7912,13,0.0052,0.037897213466245354,0.07165988696707794,0.022900394259218543,0.2846309403437816,0.28160919540229884,0.0030217449414827735,0.99347061778001,0.29167079342886376
2500,2026,11,26,36,0.0144,13,0.0052,0.10110261539501593,0.19117505823312952,0.010907033011779312,0.3611111111111111,0.28287337662337664,0.07823773448773447,0.7346938775510204,0.2784213206611296
